molecule_chembl_id,canonical_smiles,bioactivity_class,MolWt,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL253444,CC(=O)NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,active,577.592,3.7911,3,8,6.356547324
CHEMBL253882,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCC(O)CC4)c23)c(F)c1,active,536.539,3.6473,3,8,6.045757491
CHEMBL253881,NC1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,active,535.555,3.6137,3,8,7.346787486
CHEMBL400726,NCC1CN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,active,521.528,3.0811,3,8,6.744727495
CHEMBL428944,N[C@H]1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,active,521.528,3.2236,3,8,6.721246399
CHEMBL253657,N[C@@H]1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)C1,active,521.528,3.2236,3,8,6.356547324
CHEMBL253656,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCOCC4)c23)c(F)c1,active,522.512,3.5228,2,8,6.004364805
CHEMBL252416,CN1CCN(Cc2ccn3ncnc(Oc4ccc(NC(=O)NC(=O)Cc5ccc(F)cc5)cc4F)c23)CC1,active,535.555,3.438,2,8,6.065501549
CHEMBL252415,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(CN4CCNCC4)c23)c(F)c1,active,521.528,3.0958,3,8,6.387216143
CHEMBL252213,O=C(Cc1ccc(F)cc1)NC(=O)Nc1ccc(Oc2ncnn3ccc(-c4ccccc4)c23)c(F)c1,active,499.477,5.3576,2,6,6.585026652
CHEMBL438696,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,active,538.555,4.32952,2,8,7.397940009
CHEMBL400556,Cc1c(OCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,active,524.528,3.93942,2,8,6.823908741
CHEMBL413996,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)NC(=O)Cc4ccc(F)cc4)cc3F)c12,active,579.608,3.62522,2,9,7.301029996
CHEMBL254280,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,active,538.555,4.40602,2,8,7.522878745
CHEMBL254907,Cc1c(OCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,active,524.528,4.01592,2,8,6.853871964
CHEMBL401344,Cc1c(OCCN2CCOCC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,active,566.565,3.78652,2,9,6.886056648
CHEMBL399698,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,active,579.608,3.70172,2,9,7.397940009
CHEMBL253223,Cc1ccn2ncnc(Oc3ccc(NC(=O)CC(=O)Nc4ccc(F)cc4)cc3F)c12,active,437.406,4.07552,2,6,6.107905397
CHEMBL253222,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)c4cccnc4)cc3F)c12,active,464.501,3.94692,1,8,7.15490196
CHEMBL400332,Cc1c(OCCCN(C)C)cn2ncnc(Oc3ccc(NC(=O)c4c(F)cccc4F)cc3F)c12,active,499.493,4.83012,1,7,7.522878745
CHEMBL430026,Cc1ccc(F)c(C(=O)Nc2ccc(Oc3ncnn4cc(OCCN5CCOCC5)c(C)c34)c(F)c2)c1,active,523.54,4.37994,1,8,6.292429824
CHEMBL399674,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4cccs4)cc3F)c12,active,510.595,3.90912,1,9,6.721246399
CHEMBL251980,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4cccnc4)cc3F)c12,active,505.554,3.24262,1,9,6.795880017
CHEMBL251782,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4cc(Cl)ccc4F)cc3F)c12,active,557.001,4.64012,1,8,7.15490196
CHEMBL251780,CC(=O)c1cccc(C(=O)Nc2ccc(Oc3ncnn4cc(OCCN5CCN(C)CC5)c(C)c34)c(F)c2)c1,active,546.603,4.05022,1,9,7.045757491
CHEMBL399920,Cc1ccc(F)c(C(=O)Nc2ccc(Oc3ncnn4cc(OCCN5CCN(C)CC5)c(C)c34)c(F)c2)c1,active,536.583,4.29514,1,8,7.045757491
CHEMBL255092,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4c(F)cccc4F)cc3F)c12,active,540.546,4.12582,1,8,7.522878745
CHEMBL255091,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4cc(F)ccc4F)cc3F)c12,active,540.546,4.12582,1,8,7.397940009
CHEMBL254879,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc(NC(=O)c4ccccc4F)cc3F)c12,active,522.556,3.98672,1,8,7.045757491
CHEMBL410295,Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12,inactive,530.636,4.69384,1,9,5
CHEMBL429430,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3)c2cc1OC,active,457.486,5.4752,1,6,6.187086643
CHEMBL409933,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)N[C@H](C)c3ccccc3)c2cc1OC,active,485.54,5.7139,1,6,6.677780705
CHEMBL270306,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)N[C@@H](C)c3ccccc3)c2cc1OC,active,485.54,5.7139,1,6,6.337242168
CHEMBL270093,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)NCc3ccc(C)cc3)c2cc1OC,active,485.54,5.46132,1,6,6.301029996
CHEMBL270548,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(Cl)cc3)c2cc1OC,active,491.931,6.1286,1,6,6.522878745
CHEMBL272878,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3cccc(Cl)c3)c2cc1OC,active,491.931,6.1286,1,6,6.638272164
CHEMBL270550,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3Cl)c2cc1OC,active,491.931,6.1286,1,6,6.537602002
CHEMBL411630,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(C)cc3)c2cc1OC,active,471.513,5.78362,1,6,6.431798276
CHEMBL270057,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3cccc(C)c3)c2cc1OC,active,471.513,5.78362,1,6,6.455931956
CHEMBL270058,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccccc3C)c2cc1OC,active,471.513,5.78362,1,6,6.387216143
CHEMBL270954,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(C)cc3)c2cc1C(N)=O,active,484.512,4.87392,2,6,6.585026652
CHEMBL409867,COc1cc2nccc(Oc3ccc4c(c3)OCCN4C(=O)Nc3ccc(Cl)cc3)c2cc1C(N)=O,active,504.93,5.2189,2,6,6.795880017
CHEMBL429743,COc1cc2nccc(Oc3ccc4c(C(=O)Nc5ccc(Cl)cc5)cccc4c3)c2cc1OC,active,484.939,7.1032,1,5,6.346787486
CHEMBL272250,COc1cc2nccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1C(N)=O,inactive,427.46,4.18,2,5,4.698970004
CHEMBL272252,COc1ccc2c(Oc3ccc4c(C(N)=O)cccc4c3)ccnc2c1,inactive,344.37,4.2878,1,4,4.698970004
CHEMBL272251,COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)ccc34)ccc12,inactive,402.45,4.5651,1,5,4.698970004
CHEMBL270342,COc1ccc2c(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)ccnc2c1,inactive,384.435,5.0811,1,4,4.698970004
CHEMBL270556,COc1cc2ncnc(Oc3ccc4c(C(N)=O)cccc4c3)c2cc1OC,inactive,375.384,3.6914,1,6,4.698970004
CHEMBL412278,COCCNC(=O)c1cccc2cc(Oc3ncnc4cc(OC)c(OC)cc34)ccc12,inactive,433.464,3.9687,1,7,4.698970004
CHEMBL411284,COc1cc2ncnc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC,inactive,415.449,4.4847,1,6,4.698970004
CHEMBL271188,COCCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,inactive,432.476,4.5737,1,6,4.698970004
CHEMBL410840,COc1cc2nccc(Oc3ccc4c(C(=O)NCC(F)(F)F)cccc4c3)c2cc1OC,inactive,456.42,5.4896,1,5,4.698970004
CHEMBL406914,COc1cc2nccc(Oc3ccc4c(C(=O)NC(C)(C)C)cccc4c3)c2cc1OC,inactive,430.504,5.7258,1,5,4.958607315
CHEMBL408211,COc1cc2nccc(Oc3ccc4c(C(=O)NC(C)C)cccc4c3)c2cc1OC,inactive,416.477,5.3357,1,5,4.698970004
CHEMBL269871,CCNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,inactive,402.45,4.9472,1,5,4.698970004
CHEMBL270754,CNC(=O)c1cccc2cc(Oc3ccnc4cc(OC)c(OC)cc34)ccc12,inactive,388.423,4.5571,1,5,4.698970004
CHEMBL272198,COc1cc2nccc(Oc3ccc4c(C(=O)NC5CC5)cccc4c3)c2cc1OC,inactive,414.461,5.0897,1,5,4.698970004
CHEMBL261641,Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)N(C)c4cccc(Cl)c4)cc32)c(C)c1C(=O)N1CCN(C)CC1,active,568.099,3.99034,2,5,7.698970004
CHEMBL404881,COc1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2cc1OC,active,491.544,5.2391,2,6,6.91721463
CHEMBL256920,CSc1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,483.615,6.0053,2,6,6.886056648
CHEMBL256715,CC(O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,481.574,5.3367,3,6,6.879426069
CHEMBL257802,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3ccsc23)c(F)c1,active,437.521,5.2834,2,5,6.935542011
CHEMBL257546,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)c4ccco4)sc23)c(F)c1,active,531.59,6.1074,2,7,6.886056648
CHEMBL256972,COC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,495.557,5.07,2,7,6.946921557
CHEMBL254761,CN1CCN(C(=O)c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)CC1,active,563.68,4.671,2,7,6.714442691
CHEMBL254964,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)N4CCCC4)sc23)c(F)c1,active,534.638,5.5194,2,6,7.26760624
CHEMBL401838,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(C(=O)N4CCOCC4)sc23)c(F)c1,active,550.637,4.7558,2,7,6.903089987
CHEMBL402504,CCN(CC)C(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,536.654,5.7654,2,6,6.943095149
CHEMBL402036,CN(C)C(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,508.6,4.9852,2,6,7.318758763
CHEMBL438877,CNC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,494.573,4.643,3,6,7.096910013
CHEMBL256974,NC(=O)c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,480.546,4.3823,3,6,7.187086643
CHEMBL256786,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4cncnc4)sc23)c(F)c1,active,515.595,5.7404,2,7,7.200659451
CHEMBL403747,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4ccoc4)sc23)c(F)c1,active,503.58,6.5434,2,6,7.13076828
CHEMBL258185,Cn1cccc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,516.623,6.2889,2,6,7.30980392
CHEMBL402004,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4cccs4)sc23)c(F)c1,active,519.648,7.0119,2,6,7.15490196
CHEMBL257987,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4nncs4)sc23)c(F)c1,active,521.624,5.8019,2,8,7.22184875
CHEMBL256767,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4ncccn4)sc23)c(F)c1,active,515.595,5.7404,2,7,6.742321425
CHEMBL402042,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4cccnc4)sc23)c(F)c1,active,514.607,6.3454,2,6,6.899629455
CHEMBL404639,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4ccccn4)sc23)c(F)c1,active,514.607,6.3454,2,6,7.207608311
CHEMBL402550,O=C(Cc1ccccc1)NC(=S)Nc1ccc(Oc2ccnc3cc(-c4nccs4)sc23)c(F)c1,active,520.636,6.4069,2,7,7.187086643
CHEMBL258396,Cn1ncnc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,518.599,5.0789,2,8,7.161150909
CHEMBL402792,Cn1cc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)cn1,active,517.611,5.6839,2,7,7.619788758
CHEMBL404495,CCn1ccnc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,531.638,6.1668,2,7,6.966576245
CHEMBL258240,Cn1ccnc1-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,active,517.611,5.6839,2,7,7.292429824
CHEMBL258453,CCn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,active,531.638,6.1668,2,7,7.283996656
CHEMBL254760,Cn1cnc(-c2cc3nccc(Oc4ccc(NC(=S)NC(=O)Cc5ccccc5)cc4F)c3s2)c1,active,517.611,5.6839,2,7,7.537602002
